2018rank,City,State[c],2010Census,White,Non_Hispanic_White,Black/African American,Asian,Other
1,New York City,New York,8175133,44.0,33.3,25.5,12.7,N/A
2,Los Angeles,California,3792621,N/A,28.7,9.6,11.3,N/A
3,Chicago,Illinois,2695598,44.9,31.7,32.9,5.5,N/A
4,Houston,Texas,2100263,N/A,25.6,25.7,6.0,N/A
5,Phoenix,Arizona,1445632,N/A,46.5,6.5,3.2,N/A
6,Philadelphia,Pennsylvania,1526006,N/A,N/A,N/A,6.3,N/A
7,San Antonio,Texas,1327407,72.6,26.6,6.9,2.4,N/A
8,San Diego,California,1307402,58.9,45.1,6.7,15.9,N/A
9,Dallas,Texas,1197816,N/A,28.8,24.7,2.9,N/A
10,San Jose,California,945942,42.8,28.7,3.2,32.0,15.7
11,Austin,Texas,790390,68.3,48.7,8.1,6.3,N/A
12,Jacksonville,Florida,821784,59.4,55.1,30.7,4.3,N/A
13,Fort Worth,Texas,741206,61.6,41.7,18.9,3.7,N/A
14,Columbus,Ohio,787033,61.5,59.3,28.0,4.1,N/A
15,San Francisco,California,805235,48.5,41.9,6.1,33.3,0.4
16,Charlotte,North Carolina,731424,N/A,N/A,N/A,N/A,N/A
17,Indianapolis,Indiana,820445,61.8,58.6,27.5,2.1,N/A
18,Seattle,Washington,608660,69.5,66.3,7.9,13.8,2.4
19,Denver,Colorado,600158,68.9,52.2,10.2,3.4,N/A
20,"Washington, D.C.",District of Columbia,601723,38.5,34.8,50.7,3.5,N/A
21,Boston,Massachusetts,617594,N/A,N/A,N/A,N/A,N/A
22,El Paso,Texas,649121,80.8,14.2,3.4,1.2,N/A
23,Detroit,Michigan,713777,10.6,7.8,82.7,1.1,N/A
24,Nashville,Tennessee,601222,65.5,58.6,28.6,3.5,0.1
25,Portland,Oregon,583776,76.1,72.2,6.3,7.1,N/A
26,Memphis,Tennessee,646889,29.4,27.5,63.3,1.6,N/A
27,Oklahoma City,Oklahoma,579999,62.7,56.7,15.1,4.0,N/A
28,Las Vegas,Nevada,583756,62.1,47.9,11.1,6.1,N/A
29,Louisville,Kentucky,597337,N/A,N/A,N/A,N/A,N/A
30,Baltimore,Maryland,620961,29.6,28.0,63.7,2.3,N/A
31,Milwaukee,Wisconsin,594833,N/A,37.0,40.0,3.5,N/A
32,Albuquerque,New Mexico,545852,69.7,42.1,3.3,2.6,N/A
33,Tucson,Arizona,520116,N/A,N/A,N/A,N/A,N/A
34,Fresno,California,494665,50.6,30.0,8.3,12.6,N/A
35,Mesa,Arizona,439041,N/A,N/A,N/A,N/A,N/A
36,Sacramento,California,466488,45.0,34.5,14.6,18.3,N/A
37,Atlanta,Georgia,420003,N/A,N/A,N/A,N/A,N/A
38,Kansas City,Missouri,459787,59.2,54.9,29.9,N/A,N/A
39,Colorado Springs,Colorado,416427,N/A,N/A,N/A,N/A,N/A
40,Miami,Florida,399457,N/A,11.9,19.2,1.0,4.2
41,Raleigh,North Carolina,403892,57.5,53.3,29.3,4.3,N/A
42,Omaha,Nebraska,408958,73.1,68.0,13.7,2.4,N/A
43,Long Beach,California,462257,46.1,29.4,13.5,12.9,N/A
44,Virginia Beach,Virginia,437994,67.7,64.5,19.6,6.1,N/A
45,Oakland,California,390724,34.5,25.9,28.0,16.8,N/A
46,Minneapolis,Minnesota,382578,63.8,60.3,18.6,5.6,5.6
47,Tulsa,Oklahoma,391906,N/A,N/A,N/A,N/A,N/A
48,Arlington,Texas,365438,N/A,N/A,N/A,N/A,N/A
49,Tampa,Florida,335709,N/A,N/A,N/A,N/A,N/A
50,New Orleans,Louisiana,343829,33.0,30.5,60.2,2.9,N/A
51,Wichita,Kansas,382368,N/A,N/A,N/A,N/A,N/A
52,Cleveland,Ohio,396815,37.3,33.4,53.3,1.8,N/A
53,Bakersfield,California,347483,56.8,37.8,8.1,6.2,N/A
54,Aurora,Colorado,325078,N/A,N/A,N/A,N/A,N/A
55,Anaheim,California,336265,N/A,N/A,N/A,N/A,N/A
56,Honolulu,Hawaii,337256,N/A,N/A,N/A,N/A,N/A
57,Santa Ana,California,324528,45.9,9.2,1.5,10.5,N/A
58,Riverside,California,303871,56.5,34.0,7.0,7.4,N/A
59,Corpus Christi,Texas,305215,N/A,N/A,N/A,N/A,N/A
60,Lexington,Kentucky,295803,N/A,N/A,N/A,N/A,N/A
61,Stockton,California,291707,37.0,22.1,12.2,21.5,N/A
62,Henderson,Nevada,257729,N/A,N/A,N/A,N/A,N/A
63,Saint Paul,Minnesota,285068,60.1,55.9,15.7,15.0,N/A
64,St. Louis,Missouri,319294,43.9,42.2,N/A,2.9,N/A
65,Cincinnati,Ohio,296943,49.3,48.1,44.8,1.8,N/A
66,Pittsburgh,Pennsylvania,305704,66.0,64.8,26.1,4.4,N/A
67,Greensboro,North Carolina,269666,N/A,N/A,N/A,N/A,N/A
68,Anchorage,Alaska,291826,66.0,62.6,5.6,8.1,N/A
69,Plano,Texas,259841,N/A,N/A,N/A,N/A,N/A
70,Lincoln,Nebraska,258379,N/A,N/A,N/A,N/A,N/A
71,Orlando,Florida,238300,N/A,N/A,N/A,N/A,N/A
72,Irvine,California,212375,50.5,45.1,1.8,45.1,N/A
73,Newark,New Jersey,277140,26.3,11.6,52.4,1.6,N/A
74,Toledo,Ohio,287208,64.8,61.4,27.2,1.1,N/A
75,Durham,North Carolina,228330,N/A,N/A,N/A,N/A,N/A
76,Chula Vista,California,243916,N/A,N/A,N/A,N/A,N/A
77,Fort Wayne,Indiana,253691,N/A,N/A,N/A,N/A,N/A
78,Jersey City,New Jersey,247597,32.7,21.5,25.8,23.7,N/A
79,St. Petersburg,Florida,244769,N/A,N/A,N/A,N/A,N/A
80,Laredo,Texas,236091,N/A,N/A,N/A,N/A,N/A
81,Madison,Wisconsin,233209,N/A,N/A,N/A,N/A,N/A
82,Chandler,Arizona,236123,N/A,N/A,N/A,N/A,N/A
83,Buffalo,New York,261310,50.4,N/A,38.6,3.2,N/A
84,Lubbock,Texas,229573,N/A,N/A,N/A,N/A,N/A
85,Scottsdale,Arizona,217385,N/A,N/A,N/A,N/A,N/A
86,Reno,Nevada,225221,N/A,N/A,N/A,N/A,N/A
87,Glendale,Arizona,226721,N/A,N/A,N/A,N/A,N/A
88,Gilbert,Arizona,208453,N/A,N/A,N/A,N/A,N/A
89,Winston–Salem,North Carolina,229617,N/A,N/A,N/A,N/A,N/A
90,North Las Vegas,Nevada,216961,N/A,N/A,N/A,N/A,N/A
91,Norfolk,Virginia,242803,N/A,N/A,N/A,N/A,N/A
92,Chesapeake,Virginia,222209,N/A,N/A,N/A,N/A,N/A
93,Garland,Texas,226876,N/A,N/A,N/A,N/A,N/A
94,Irving,Texas,216290,N/A,N/A,N/A,N/A,N/A
